Customer Id,Customer Segment,Customer City,Customer State,Customer Country,Latitude,Longitude,Market
20755,Consumer,Caguas,PR,Puerto Rico,18.2514534,-66.03705597,Pacific Asia
19492,Consumer,Caguas,PR,Puerto Rico,18.27945137,-66.0370636,Pacific Asia
19491,Consumer,San Jose,CA,EE. UU.,37.29223251,-121.881279,Pacific Asia
19490,Home Office,Los Angeles,CA,EE. UU.,34.12594605,-118.2910156,Pacific Asia
19489,Corporate,Caguas,PR,Puerto Rico,18.25376892,-66.03704834,Pacific Asia
19488,Consumer,Tonawanda,NY,EE. UU.,43.01396942,-78.87906647,Pacific Asia
19487,Home Office,Caguas,PR,Puerto Rico,18.24253845,-66.03705597,Pacific Asia
19486,Corporate,Miami,FL,EE. UU.,25.92886925,-80.16287231,Pacific Asia
19485,Corporate,Caguas,PR,Puerto Rico,18.23322296,-66.03705597,Pacific Asia
19484,Corporate,San Ramon,CA,EE. UU.,37.77399063,-121.966629,Pacific Asia
19483,Corporate,Caguas,PR,Puerto Rico,18.28284454,-66.03705597,Pacific Asia
19482,Consumer,Freeport,NY,EE. UU.,40.65486527,-73.58707428,Pacific Asia
19481,Corporate,Salinas,CA,EE. UU.,36.6763382,-121.656517,Pacific Asia
19480,Corporate,Caguas,PR,Puerto Rico,18.27843857,-66.03705597,Pacific Asia
19479,Corporate,Peabody,MA,EE. UU.,42.52627564,-70.92703247,Pacific Asia
19478,Corporate,Caguas,PR,Puerto Rico,18.28404999,-66.03705597,Pacific Asia
19477,Corporate,Canovanas,PR,Puerto Rico,18.3957901,-65.87288666,Pacific Asia
19476,Corporate,Paramount,CA,EE. UU.,33.89869309,-118.1745605,Pacific Asia
19475,Consumer,Caguas,PR,Puerto Rico,18.233778,-66.0370636,Pacific Asia
19474,Consumer,Mount Prospect,IL,EE. UU.,42.04830551,-87.96134186,Pacific Asia
19473,Corporate,Long Beach,CA,EE. UU.,33.78245163,-118.1922455,Pacific Asia
19472,Corporate,Caguas,PR,Puerto Rico,18.28337669,-66.03705597,Pacific Asia
19471,Corporate,Rancho Cordova,CA,EE. UU.,38.61177445,-121.2828674,Pacific Asia
19470,Corporate,Caguas,PR,Puerto Rico,18.20733643,-66.03705597,Pacific Asia
19469,Corporate,Billings,MT,EE. UU.,45.78831101,-108.5594101,Pacific Asia
19468,Corporate,Caguas,PR,Puerto Rico,18.26163292,-66.03705597,Pacific Asia
19467,Consumer,Wilkes Barre,PA,EE. UU.,41.23545456,-75.86985779,Pacific Asia
19466,Corporate,Caguas,PR,Puerto Rico,18.27022362,-66.0370636,Pacific Asia
19465,Corporate,Roseville,MI,EE. UU.,41.86886215,-84.57365418,Pacific Asia
19464,Consumer,Bellflower,CA,EE. UU.,33.90942383,-118.1253586,Pacific Asia
19463,Consumer,Caguas,PR,Puerto Rico,18.27526093,-66.0370636,Pacific Asia
